respuesta_original,texto_limpio,tema_id
"La web me ha parecido muy clara y fácil de usar. Me ha gustado especialmente que se vean los alojamientos desde el inicio y que el bot vaya pidiendo solo los datos necesarios para completar la reserva. Como mejora, añadiría un resumen visual final más destacado antes de confirmar.",web parecer fácil gustar especialmente alojamientos inicio bot pedir dato necesario completar reserva mejora añadirir resumen visual destacado confirmar,2
La experiencia ha sido positiva. El flujo de reserva se entiende bien y el asistente responde rápido. Me ha resultado útil que indique qué datos faltan. Mejoraría un poco el diseño del calendario para que se diferencie todavía más qué días están ocupados y cuáles libres.,experiencia positivo flujo reserva entender asistente responder rápido resultar útil indicar dato faltar mejorar diseño calendario diferenciar ocupado libre,0
"Me ha gustado la combinación de catálogo visual y chat. Es más cómodo que escribir todo desde cero. Las respuestas del asistente son útiles y no se sienten genéricas. Como mejora, estaría bien incluir más información sobre políticas de cancelación antes de reservar.",gustar combinación catálogo visual chat cómodo escribir cero respuesta asistente útil sentir genérica mejora incluir información política cancelación reservar,1
"La web tiene un diseño agradable y profesional. El flujo general se entiende, aunque al principio no estaba seguro de si tenía que escribir todos los datos juntos o poco a poco. El bot lo aclara bien, pero quizá pondría un ejemplo visible desde el inicio.",web diseño agradable profesional flujo general entender principio seguro escribir dato bot aclar ejemplo visible inicio,2
"Me ha resultado sencillo reservar. El asistente guía bastante bien y evita tener que buscar manualmente disponibilidad. Me ha gustado que pregunte por confirmación antes de guardar la reserva. Mejoraría la parte de meteorología, mostrando quizá una tabla por días.",resultar sencillo reservar asistente guir evitar buscar manualmente disponibilidad gustar pregunte confirmación guardar reserva mejorarir meteorología mostrar tabla,0
"La idea me parece útil, aunque en algún momento no sabía exactamente qué formato de fecha usar. El sistema acaba ayudando, pero pondría ejemplos más visibles. Las respuestas son buenas y el diseño está cuidado.",idea útil momento exactamente formato fecha sistema acabar ayudar ejemplo visible respuesta diseño cuidado,1
Muy buena experiencia. Me ha gustado que el bot pueda responder dudas del alojamiento y también hacer la reserva. Parece una herramienta real para ahorrar tiempo al propietario. Añadiría un botón para copiar el resumen de la reserva.,experiencia gustar bot responder duda alojamiento reserva herramienta real ahorrar tiempo propietario añadir botón copiar resumen reserva,3
El flujo de reserva es claro y rápido. El asistente entiende bien la intención y va directo al punto. Me parece especialmente útil para usuarios que quieren consultar disponibilidad sin llamar o escribir varios mensajes. Mejoraría algunos textos para que sean más cortos.,flujo reserva rápido asistente entender intención directo punto especialmente útil usuarios querer consultar disponibilidad llamar escribir mensaje mejorarir texto corto,0
"La web funciona bien, pero el flujo de reserva podría explicar desde el principio todos los datos que se van a pedir. Me gustó que el asistente no confirme nada sin preguntar antes. La interfaz es bastante limpia.",web funcionar flujo reserva explicar principio dato pedir gustar asistente confirmar preguntar interfaz limpio,2
"Me ha gustado mucho la parte visual de los apartamentos. Ayuda a decidir antes de hablar con el bot. Las respuestas son útiles y el sistema parece rápido. Como mejora, añadiría filtros visibles por número de personas o precio.",gustar visual apartamento ayudo decidir hablar bot respuesta útil sistema rápido mejora añadir filtro visible número persona precio,-1
"La web es fácil de usar y estéticamente está bien. El asistente responde correctamente, aunque algunas respuestas podrían ser más resumidas. Me parece útil para resolver dudas básicas y comprobar disponibilidad.",web fácil estéticamente asistente responder correctamente respuesta resumido útil resolver duda básico comprobar disponibilidad,2
El proceso es muy intuitivo. Me ha gustado que el bot pida los datos que faltan sin obligar a repetir todo. La confirmación final da seguridad. Mejoraría el contraste de algunos elementos del calendario.,proceso intuitivo gustar bot pedir dato faltar obligar repetir confirmación seguridad mejorar contraste elemento calendario,3
"La herramienta es útil, pero al principio me costó entender que podía escribir de forma natural. El asistente responde bien, aunque haría la interfaz un poco más explicativa. Añadiría una guía breve de ejemplos de uso.",herramienta útil principio costar entender escribir forma natural asistente responder interfaz explicativo añadir guía ejemplo,1
"La experiencia me ha parecido muy profesional. El catálogo inicial, el calendario y el chat encajan bien. Me gusta que el sistema no invente disponibilidad y que pida confirmación. Añadiría más fotos o detalles del entorno.",experiencia parecer profesional catálogo inicial calendario chat encajar gustar sistema invente disponibilidad pedir confirmación añadir foto detalle entorno,1
