"Marca temporal","Facilidad de uso general de la web
“La web me ha resultado fácil de usar.”","Claridad del flujo de reserva
“He entendido claramente qué datos debía enviar para completar una reserva.”  ","Utilidad de las respuestas del asistente
“Las respuestas del asistente han sido útiles para encontrar alojamiento y resolver dudas.”  ","Rapidez y fluidez
“La web responde rápido y el flujo es fluido (sin esperas o errores).”  ","Diseño y estética
“El diseño de la web es agradable y profesional” ","Recomendación / intención de uso
“Usaría esta web en un caso real o la recomendaría.”  ","Opinión final
Respuesta larga: “Cuéntanos tu opinión final sobre la experiencia. ¿Qué te ha gustado más y qué mejorarías?”  "
"2026/05/17 3:07:40 p. m. EEST","5","5","5","5","5","5","La web me ha parecido muy clara y fácil de usar. Me ha gustado especialmente que se vean los alojamientos desde el inicio y que el bot vaya pidiendo solo los datos necesarios para completar la reserva. Como mejora, añadiría un resumen visual final más destacado antes de confirmar."
"2026/05/17 5:03:11 p. m. EEST","4","5","4","5","4","5","La experiencia ha sido positiva. El flujo de reserva se entiende bien y el asistente responde rápido. Me ha resultado útil que indique qué datos faltan. Mejoraría un poco el diseño del calendario para que se diferencie todavía más qué días están ocupados y cuáles libres."
"2026/05/17 5:23:31 p. m. EEST","5","4","5","4","5","5","Me ha gustado la combinación de catálogo visual y chat. Es más cómodo que escribir todo desde cero. Las respuestas del asistente son útiles y no se sienten genéricas. Como mejora, estaría bien incluir más información sobre políticas de cancelación antes de reservar."
"2026/05/18 1:05:31 p. m. EEST","4","4","4","4","5","4","La web tiene un diseño agradable y profesional. El flujo general se entiende, aunque al principio no estaba seguro de si tenía que escribir todos los datos juntos o poco a poco. El bot lo aclara bien, pero quizá pondría un ejemplo visible desde el inicio."
"2026/05/18 3:11:58 p. m. EEST","5","5","4","5","4","5","Me ha resultado sencillo reservar. El asistente guía bastante bien y evita tener que buscar manualmente disponibilidad. Me ha gustado que pregunte por confirmación antes de guardar la reserva. Mejoraría la parte de meteorología, mostrando quizá una tabla por días."
"2026/05/18 3:22:27 p. m. EEST","3","4","4","3","4","4","La idea me parece útil, aunque en algún momento no sabía exactamente qué formato de fecha usar. El sistema acaba ayudando, pero pondría ejemplos más visibles. Las respuestas son buenas y el diseño está cuidado."
"2026/05/18 3:54:45 p. m. EEST","5","5","5","4","5","5","Muy buena experiencia. Me ha gustado que el bot pueda responder dudas del alojamiento y también hacer la reserva. Parece una herramienta real para ahorrar tiempo al propietario. Añadiría un botón para copiar el resumen de la reserva."
"2026/05/18 5:07:04 p. m. EEST","4","5","5","5","4","5","El flujo de reserva es claro y rápido. El asistente entiende bien la intención y va directo al punto. Me parece especialmente útil para usuarios que quieren consultar disponibilidad sin llamar o escribir varios mensajes. Mejoraría algunos textos para que sean más cortos."
"2026/05/18 5:35:24 p. m. EEST","4","3","4","4","4","4","La web funciona bien, pero el flujo de reserva podría explicar desde el principio todos los datos que se van a pedir. Me gustó que el asistente no confirme nada sin preguntar antes. La interfaz es bastante limpia."
"2026/05/18 6:09:44 p. m. EEST","5","4","5","5","5","5","Me ha gustado mucho la parte visual de los apartamentos. Ayuda a decidir antes de hablar con el bot. Las respuestas son útiles y el sistema parece rápido. Como mejora, añadiría filtros visibles por número de personas o precio."
"2026/05/19 1:18:03 p. m. EEST","4","4","3","4","5","4","La web es fácil de usar y estéticamente está bien. El asistente responde correctamente, aunque algunas respuestas podrían ser más resumidas. Me parece útil para resolver dudas básicas y comprobar disponibilidad."
"2026/05/19 2:02:19 p. m. EEST","5","5","5","5","4","5","El proceso es muy intuitivo. Me ha gustado que el bot pida los datos que faltan sin obligar a repetir todo. La confirmación final da seguridad. Mejoraría el contraste de algunos elementos del calendario."
